"filename", "language", "Slint", "TOML", "Rust", "comment", "blank", "total"
"f:\rust_projects\project-manager\Cargo.lock", "TOML", 0, 4368, 0, 2, 485, 4855
"f:\rust_projects\project-manager\Cargo.toml", "TOML", 0, 18, 0, 1, 5, 24
"f:\rust_projects\project-manager\build.rs", "Rust", 0, 0, 4, 0, 2, 6
"f:\rust_projects\project-manager\prjmng.toml", "TOML", 0, 1, 0, 0, 0, 1
"f:\rust_projects\project-manager\src\lib.rs", "Rust", 0, 0, 1, 0, 0, 1
"f:\rust_projects\project-manager\src\main.rs", "Rust", 0, 0, 180, 10, 10, 200
"f:\rust_projects\project-manager\src\settings\editor.rs", "Rust", 0, 0, 16, 0, 4, 20
"f:\rust_projects\project-manager\src\settings\mod.rs", "Rust", 0, 0, 10, 0, 3, 13
"f:\rust_projects\project-manager\ui\chooser.slint", "Slint", 62, 0, 0, 5, 7, 74
"f:\rust_projects\project-manager\ui\hbutton.slint", "Slint", 38, 0, 0, 0, 2, 40
"f:\rust_projects\project-manager\ui\menus.slint", "Slint", 59, 0, 0, 5, 6, 70
"f:\rust_projects\project-manager\ui\status.slint", "Slint", 10, 0, 0, 7, 1, 18
"f:\rust_projects\project-manager\ui\ui.slint", "Slint", 221, 0, 0, 20, 21, 262
"Total", "-", 390, 4387, 211, 50, 546, 5584